,id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,nepos,pct_nepo
0,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Sam Worthington,False,16.666666666666664
1,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Zoe Saldana,False,16.666666666666664
2,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Sigourney Weaver,"['https://en.wikipedia.org/wiki/Pat_Weaver', 'https://en.wikipedia.org/wiki/Elizabeth_Inglis']",16.666666666666664
3,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Michelle Rodriguez,False,16.666666666666664
4,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Stephen Lang,['https://en.wikipedia.org/wiki/Eugene_Lang'],16.666666666666664
5,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Giovanni Ribisi,['https://en.wikipedia.org/wiki/Marissa_Ribisi'],16.666666666666664
6,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Joel David Moore,False,16.666666666666664
7,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,CCH Pounder,False,16.666666666666664
8,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Wes Studi,False,16.666666666666664
9,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Laz Alonso,False,16.666666666666664
10,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Dileep Rao,False,16.666666666666664
11,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Matt Gerald,False,16.666666666666664
12,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Sean Anthony Moran,False,16.666666666666664
13,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Jason Whyte,False,16.666666666666664
14,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Scott Lawrence,False,16.666666666666664
15,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Kelly Kilgour,False,16.666666666666664
16,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,James Patrick Pitt,False,16.666666666666664
17,tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009,Sean Patrick Murphy,False,16.666666666666664
18,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Robert Downey Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],33.33333333333333
19,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Chris Evans,False,33.33333333333333
20,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Mark Ruffalo,False,33.33333333333333
21,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Chris Hemsworth,"['https://en.wikipedia.org/wiki/Luke_Hemsworth', 'https://en.wikipedia.org/wiki/Liam_Hemsworth', 'https://en.wikipedia.org/wiki/Joanne_van_Os']",33.33333333333333
22,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Scarlett Johansson,False,33.33333333333333
23,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Jeremy Renner,False,33.33333333333333
24,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Don Cheadle,False,33.33333333333333
25,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Paul Rudd,False,33.33333333333333
26,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Benedict Cumberbatch,"['https://en.wikipedia.org/wiki/Timothy_Carlton', 'https://en.wikipedia.org/wiki/Wanda_Ventham']",33.33333333333333
27,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Chadwick Boseman,False,33.33333333333333
28,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Brie Larson,False,33.33333333333333
29,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Tom Holland,['https://en.wikipedia.org/wiki/Dominic_Holland'],33.33333333333333
30,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Karen Gillan,['https://en.wikipedia.org/wiki/Caitlin_Blackwood'],33.33333333333333
31,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Zoe Saldana,False,33.33333333333333
32,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Evangeline Lilly,False,33.33333333333333
33,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Tessa Thompson,False,33.33333333333333
34,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Rene Russo,False,33.33333333333333
35,tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Elizabeth Olsen,"['https://en.wikipedia.org/wiki/Mary-Kate_Olsen', 'https://en.wikipedia.org/wiki/Ashley_Olsen']",33.33333333333333
36,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Leonardo DiCaprio,['https://en.wikipedia.org/wiki/George_DiCaprio'],22.22222222222222
37,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Kate Winslet,False,22.22222222222222
38,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Billy Zane,False,22.22222222222222
39,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Kathy Bates,['https://en.wikipedia.org/wiki/Finis_L._Bates'],22.22222222222222
40,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Frances Fisher,False,22.22222222222222
41,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Gloria Stuart,False,22.22222222222222
42,tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,Bill Paxton,False,22.22222222222222
