image,link,title,year,type,id,cast
"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,The Shawshank Redemption,1994,film,tt0111161,"[['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'James Whitmore'], ['/wiki/Tim_Robbins', '/wiki/Morgan_Freeman', '/wiki/Bob_Gunton', '/wiki/William_Sadler_(actor)', '/wiki/Clancy_Brown', '/wiki/Gil_Bellows', '/wiki/James_Whitmore']]"
"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,The Godfather,1972,film,tt0068646,"[['Marlon Brando', 'Al Pacino', 'James Caan', 'Richard Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Diane Keaton'], ['/wiki/Marlon_Brando', '/wiki/Al_Pacino', '/wiki/James_Caan', '/wiki/Richard_Castellano', '/wiki/Robert_Duvall', '/wiki/Sterling_Hayden', '/wiki/John_Marley', '/wiki/Richard_Conte', '/wiki/Diane_Keaton']]"
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,The Dark Knight,2008,film,tt0468569,"[['Christian Bale', 'Michael Caine', 'Heath Ledger', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman'], ['/wiki/Christian_Bale', '/wiki/Michael_Caine', '/wiki/Heath_Ledger', '/wiki/Gary_Oldman', '/wiki/Aaron_Eckhart', '/wiki/Maggie_Gyllenhaal', '/wiki/Morgan_Freeman']]"
"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,The Godfather Part II,1974,film,tt0071562,"[['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'Talia Shire', 'Morgana King', 'John Cazale', 'Mariana Hill', 'Lee Strasberg'], ['/wiki/Al_Pacino', '/wiki/Robert_Duvall', '/wiki/Diane_Keaton', '/wiki/Robert_De_Niro', '/wiki/Talia_Shire', '/wiki/Morgana_King', '/wiki/John_Cazale', '/wiki/Mariana_Hill', '/wiki/Lee_Strasberg']]"
"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX140_CR0,4,140,207_.jpg",https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,12 Angry Men,1957,film,tt0050083,"[['Henry Fonda', 'Lee J. Cobb', 'Ed Begley', 'E. G. Marshall', 'Jack Warden'], ['', '/wiki/Lee_J._Cobb', '/wiki/Ed_Begley', '/wiki/E._G._Marshall', '/wiki/Jack_Warden']]"
"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,Schindler's List,1993,film,tt0108052,"[['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz'], ['/wiki/Liam_Neeson', '/wiki/Ben_Kingsley', '/wiki/Ralph_Fiennes', '/wiki/Caroline_Goodall', '/wiki/Jonathan_Sagall', '/wiki/Embeth_Davidtz']]"
"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7,The Lord of the Rings: The Return of the King,2003,film,tt0167260,"[['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Bernard Hill', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Hugo Weaving', 'Miranda Otto', 'David Wenham', 'Karl Urban', 'John Noble', 'Andy Serkis', 'Ian Holm', 'Sean Bean'], ['/wiki/Elijah_Wood', '/wiki/Ian_McKellen', '/wiki/Liv_Tyler', '/wiki/Viggo_Mortensen', '/wiki/Sean_Astin', '/wiki/Cate_Blanchett', '/wiki/John_Rhys-Davies', '/wiki/Bernard_Hill', '/wiki/Billy_Boyd_(actor)', '/wiki/Dominic_Monaghan', '/wiki/Orlando_Bloom', '/wiki/Hugo_Weaving', '/wiki/Miranda_Otto', '/wiki/David_Wenham', '/wiki/Karl_Urban', '/wiki/John_Noble', '/wiki/Andy_Serkis', '/wiki/Ian_Holm', '/wiki/Sean_Bean']]"
"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,Pulp Fiction,1994,film,tt0110912,"[[], []]"
"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,The Lord of the Rings: The Fellowship of the Ring,2001,film,tt0120737,"[['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Christopher Lee', 'Hugo Weaving', 'Sean Bean', 'Ian Holm', 'Andy Serkis'], ['/wiki/Elijah_Wood', '/wiki/Ian_McKellen', '/wiki/Liv_Tyler', '/wiki/Viggo_Mortensen', '/wiki/Sean_Astin', '/wiki/Cate_Blanchett', '/wiki/John_Rhys-Davies', '/wiki/Billy_Boyd_(actor)', '/wiki/Dominic_Monaghan', '/wiki/Orlando_Bloom', '/wiki/Christopher_Lee', '/wiki/Hugo_Weaving', '/wiki/Sean_Bean', '/wiki/Ian_Holm', '/wiki/Andy_Serkis']]"
"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,"The Good, the Bad and the Ugly",1966,film,tt0060196,"[['Clint Eastwood', 'Lee Van Cleef', 'Eli Wallach', 'Aldo Giuffrè', 'Antonio Casas', 'Rada Rassimov', 'Aldo Sambrell', 'Enzo Petito', 'Luigi Pistilli', 'Livio Lorenzon', 'Al Mulloch', 'Sergio Mendizábal', 'Antonio Molino Rojo', 'Lorenzo Robledo', 'Mario Brega'], ['/wiki/Clint_Eastwood', '/wiki/Lee_Van_Cleef', '/wiki/Eli_Wallach', '/wiki/Aldo_Giuffr%C3%A8', '/wiki/Antonio_Casas', '/wiki/Rada_Rassimov', '/wiki/Aldo_Sambrell', '/wiki/Enzo_Petito', '/wiki/Luigi_Pistilli', '/wiki/Livio_Lorenzon', '/wiki/Al_Mulock', '/wiki/Sergio_Mendiz%C3%A1bal', '/wiki/Antonio_Molino_Rojo', '/wiki/Lorenzo_Robledo', '/wiki/Mario_Brega']]"
