id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,cast_link,nepos,pct_nepo
tt0499549,1,Avatar,"$2,922,917,914","$785,221,649",26.9%,"$2,137,696,265",73.1%,2009,Sam Worthington,/wiki/Sam_Worthington,False,0.4
tt0499549,1,Avatar,"$2,922,917,914","$785,221,649",26.9%,"$2,137,696,265",73.1%,2009,Zoe Saldana,/wiki/Zoe_Salda%C3%B1a,False,0.4
tt0499549,1,Avatar,"$2,922,917,914","$785,221,649",26.9%,"$2,137,696,265",73.1%,2009,Stephen Lang,/wiki/Stephen_Lang,['https://en.wikipedia.org/wiki/Eugene_Lang'],0.4
tt0499549,1,Avatar,"$2,922,917,914","$785,221,649",26.9%,"$2,137,696,265",73.1%,2009,Michelle Rodriguez,/wiki/Michelle_Rodriguez,False,0.4
tt0499549,1,Avatar,"$2,922,917,914","$785,221,649",26.9%,"$2,137,696,265",73.1%,2009,Sigourney Weaver,/wiki/Sigourney_Weaver,"['https://en.wikipedia.org/wiki/Pat_Weaver', 'https://en.wikipedia.org/wiki/Elizabeth_Inglis']",0.4
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Robert Downey Jr.,/wiki/Robert_Downey_Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],0.3125
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Chris Evans,/wiki/Chris_Evans_(actor),['https://en.wikipedia.org/wiki/Mike_Capuano'],0.3125
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Mark Ruffalo,/wiki/Mark_Ruffalo,False,0.3125
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Chris Hemsworth,/wiki/Chris_Hemsworth,['https://en.wikipedia.org/wiki/Joanne_van_Os'],0.3125
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Scarlett Johansson,/wiki/Scarlett_Johansson,False,0.3125
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,Jeremy Renner,/wiki/Jeremy_Renner,False,0.3125
