id,title,year,cast,nepos,pct_nepo,type
tt0111161,The Shawshank Redemption,1994,Clancy Brown,['https://en.wikipedia.org/wiki/Bud_Brown_(politician)'],5.555555555555555,film
tt0068646,The Godfather,1972,Marlon Brando,"['https://en.wikipedia.org/wiki/Jocelyn_Brando', 'https://en.wikipedia.org/wiki/D.A._Pennebaker']",11.11111111111111,film
tt0068646,The Godfather,1972,Talia Shire,"['https://en.wikipedia.org/wiki/Carmine_Coppola', 'https://en.wikipedia.org/wiki/Italia_Pennino']",11.11111111111111,film
tt0468569,The Dark Knight,2008,Christian Bale,['https://en.wikipedia.org/wiki/David_Bale'],33.33333333333333,film
tt0468569,The Dark Knight,2008,Michael Caine,['https://en.wikipedia.org/wiki/Stanley_Caine'],33.33333333333333,film
tt0468569,The Dark Knight,2008,Maggie Gyllenhaal,"['https://en.wikipedia.org/wiki/Stephen_Gyllenhaal', 'https://en.wikipedia.org/wiki/Naomi_Foner_Gyllenhaal']",33.33333333333333,film
tt0468569,The Dark Knight,2008,Gary Oldman,['https://en.wikipedia.org/wiki/Laila_Morse'],33.33333333333333,film
tt0468569,The Dark Knight,2008,Nestor Carbonell,"['https://en.wikipedia.org/wiki/Rafael_Palmeiro', 'https://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_Cortina', 'https://en.wikipedia.org/wiki/Manuel_Puig']",33.33333333333333,film
tt0468569,The Dark Knight,2008,Eric Roberts,['https://en.wikipedia.org/wiki/Julia_Roberts'],33.33333333333333,film
tt0071562,The Godfather Part II,1974,Robert De Niro,"['https://en.wikipedia.org/wiki/Robert_De_Niro_Sr.', 'https://en.wikipedia.org/wiki/Virginia_Admiral']",16.666666666666664,film
tt0071562,The Godfather Part II,1974,Talia Shire,"['https://en.wikipedia.org/wiki/Carmine_Coppola', 'https://en.wikipedia.org/wiki/Italia_Pennino']",16.666666666666664,film
tt0071562,The Godfather Part II,1974,Bruno Kirby,['https://en.wikipedia.org/wiki/Bruce_Kirby_(actor)'],16.666666666666664,film
tt0108052,Schindler's List,1993,Ralph Fiennes,"['https://en.wikipedia.org/wiki/Mark_Fiennes', 'https://en.wikipedia.org/wiki/Jennifer_Lash']",11.11111111111111,film
tt0108052,Schindler's List,1993,Jonathan Sagall,['https://en.wikipedia.org/wiki/Ruth_Sagall'],11.11111111111111,film
tt0167260,The Lord of the Rings: The Return of the King,2003,Sean Astin,"['https://en.wikipedia.org/wiki/Patty_Duke', 'https://en.wikipedia.org/wiki/John_Astin']",5.555555555555555,film
tt0110912,Pulp Fiction,1994,John Travolta,"['https://en.wikipedia.org/wiki/Ellen_Travolta', 'https://en.wikipedia.org/wiki/Margaret_Travolta', 'https://en.wikipedia.org/wiki/Joey_Travolta']",27.77777777777778,film
tt0110912,Pulp Fiction,1994,Uma Thurman,"['https://en.wikipedia.org/wiki/Robert_Thurman', 'https://en.wikipedia.org/wiki/Nena_von_Schlebr%C3%BCgge']",27.77777777777778,film
tt0110912,Pulp Fiction,1994,Amanda Plummer,"['https://en.wikipedia.org/wiki/Christopher_Plummer', 'https://en.wikipedia.org/wiki/Tammy_Grimes']",27.77777777777778,film
tt0110912,Pulp Fiction,1994,Burr Steers,"['https://en.wikipedia.org/wiki/Newton_Steers', 'https://en.wikipedia.org/wiki/Nina_Straight']",27.77777777777778,film
tt0110912,Pulp Fiction,1994,Rosanna Arquette,['https://en.wikipedia.org/wiki/Lewis_Arquette'],27.77777777777778,film
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Alan Howard,['https://en.wikipedia.org/wiki/Arthur_Howard'],16.666666666666664,film
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Sean Astin,"['https://en.wikipedia.org/wiki/Patty_Duke', 'https://en.wikipedia.org/wiki/John_Astin']",16.666666666666664,film
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Christopher Lee,['https://en.wikipedia.org/wiki/Marie_Carandini'],16.666666666666664,film
tt0060196,"The Good, the Bad and the Ugly",1966,Rada Rassimov,['https://en.wikipedia.org/wiki/Ivan_Rassimov'],5.555555555555555,film
tt0109830,Forrest Gump,1994,Tom Hanks,"['https://en.wikipedia.org/wiki/Jim_Hanks', 'https://en.wikipedia.org/wiki/Larry_Hanks']",11.11111111111111,film
tt0109830,Forrest Gump,1994,Sally Field,['https://en.wikipedia.org/wiki/Margaret_Field'],11.11111111111111,film
tt0137523,Fight Club,1999,Brad Pitt,['https://en.wikipedia.org/wiki/Douglas_Pitt'],16.666666666666664,film
tt0137523,Fight Club,1999,Edward Norton,['https://en.wikipedia.org/wiki/James_Rouse'],16.666666666666664,film
tt0137523,Fight Club,1999,Helena Bonham Carter,['https://en.wikipedia.org/wiki/Raymond_Bonham_Carter'],16.666666666666664,film
tt1375666,Inception,2010,Leonardo DiCaprio,['https://en.wikipedia.org/wiki/George_DiCaprio'],22.22222222222222,film
tt1375666,Inception,2010,Joseph Gordon-Levitt,['https://en.wikipedia.org/wiki/Michael_Gordon_(film_director)'],22.22222222222222,film
tt1375666,Inception,2010,Tom Hardy,['https://en.wikipedia.org/wiki/Chips_Hardy'],22.22222222222222,film
tt1375666,Inception,2010,Michael Caine,['https://en.wikipedia.org/wiki/Stanley_Caine'],22.22222222222222,film
tt0167261,The Lord of the Rings: The Two Towers,2002,Sean Astin,"['https://en.wikipedia.org/wiki/Patty_Duke', 'https://en.wikipedia.org/wiki/John_Astin']",11.11111111111111,film
tt0167261,The Lord of the Rings: The Two Towers,2002,Christopher Lee,['https://en.wikipedia.org/wiki/Marie_Carandini'],11.11111111111111,film
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Carrie Fisher,"['https://en.wikipedia.org/wiki/Eddie_Fisher_(singer)', 'https://en.wikipedia.org/wiki/Debbie_Reynolds']",5.555555555555555,film
tt0133093,The Matrix,1999,Marcus Chong,"['https://en.wikipedia.org/wiki/Tommy_Chong', 'https://en.wikipedia.org/wiki/Shelby_Chong']",5.88235294117647,film
tt0133093,The Matrix,1999,Rowan Witt,,5.88235294117647,film
tt0099685,Goodfellas,1990,Robert De Niro,"['https://en.wikipedia.org/wiki/Robert_De_Niro_Sr.', 'https://en.wikipedia.org/wiki/Virginia_Admiral']",11.11111111111111,film
tt0099685,Goodfellas,1990,Lorraine Bracco,['https://en.wikipedia.org/wiki/Elizabeth_Bracco'],11.11111111111111,film
tt0073486,One Flew Over the Cuckoo's Nest,1975,Christopher Lloyd,['https://en.wikipedia.org/wiki/Lewis_Henry_Lapham'],5.555555555555555,film
tt0114369,Se7en,1995,Brad Pitt,['https://en.wikipedia.org/wiki/Douglas_Pitt'],11.11111111111111,film
