,title,cast,nepos,pct_nepo
0,Stranger Things,Millie Bobby Brown,True,11.11111111111111
1,Stranger Things,Finn Wolfhard,True,11.11111111111111
2,Stranger Things,Winona Ryder,True,11.11111111111111
3,Stranger Things,David Harbour,True,11.11111111111111
4,Stranger Things,Gaten Matarazzo,True,11.11111111111111
5,Stranger Things,Caleb McLaughlin,True,11.11111111111111
6,Stranger Things,Natalia Dyer,True,11.11111111111111
7,Stranger Things,Charlie Heaton,True,11.11111111111111
8,Stranger Things,Joe Keery,True,11.11111111111111
9,Stranger Things,Noah Schnapp,True,11.11111111111111
10,Stranger Things,Cara Buono,True,11.11111111111111
11,Stranger Things,Sadie Sink,True,11.11111111111111
12,Stranger Things,Priah Ferguson,True,11.11111111111111
13,Stranger Things,Matthew Modine,True,11.11111111111111
14,Stranger Things,Joe Chrest,True,11.11111111111111
15,Stranger Things,Paul Reiser,"['https://en.wikipedia.org/wiki/Will_Reiser', 'https://en.wikipedia.org/wiki/Richard_Epstein']",11.11111111111111
16,Stranger Things,Dacre Montgomery,True,11.11111111111111
17,Stranger Things,Maya Hawke,"['https://en.wikipedia.org/wiki/Ethan_Hawke', 'https://en.wikipedia.org/wiki/Uma_Thurman']",11.11111111111111
18,The Boys,Karl Urban,True,16.666666666666664
19,The Boys,Jack Quaid,"['https://en.wikipedia.org/wiki/Dennis_Quaid', 'https://en.wikipedia.org/wiki/Meg_Ryan']",16.666666666666664
20,The Boys,Antony Starr,True,16.666666666666664
21,The Boys,Erin Moriarty,True,16.666666666666664
22,The Boys,Dominique McElligott,True,16.666666666666664
23,The Boys,Jessie T. Usher,True,16.666666666666664
24,The Boys,Laz Alonso,True,16.666666666666664
25,The Boys,Chace Crawford,True,16.666666666666664
26,The Boys,Tomer Capone,True,16.666666666666664
27,The Boys,Karen Fukuhara,True,16.666666666666664
28,The Boys,Nathan Mitchell,True,16.666666666666664
29,The Boys,Colby Minifie,True,16.666666666666664
30,The Boys,Claudia Doumit,True,16.666666666666664
31,The Boys,Nneka Elliott,True,16.666666666666664
32,The Boys,Laila Robins,True,16.666666666666664
33,The Boys,Aya Cash,['https://en.wikipedia.org/wiki/Kim_Addonizio'],16.666666666666664
34,The Boys,Katy Breier,True,16.666666666666664
35,The Boys,Elisabeth Shue,"['https://en.wikipedia.org/wiki/Andrew_Shue', 'https://en.wikipedia.org/wiki/Amy_Robach']",16.666666666666664
36,The Terminal List,Chris Pratt,['https://en.wikipedia.org/wiki/Kennedy_family'],16.666666666666664
37,The Terminal List,Constance Wu,True,16.666666666666664
38,The Terminal List,Taylor Kitsch,True,16.666666666666664
39,The Terminal List,Riley Keough,['https://en.wikipedia.org/wiki/Lisa_Marie_Presley'],16.666666666666664
40,The Terminal List,Arlo Mertz,True,16.666666666666664
41,The Terminal List,Jeanne Tripplehorn,True,16.666666666666664
42,The Terminal List,Jared Shaw,True,16.666666666666664
43,The Terminal List,JD Pardo,True,16.666666666666664
44,The Terminal List,LaMonica Garrett,True,16.666666666666664
45,The Terminal List,Christina Vidal,"['https://en.wikipedia.org/wiki/Lisa_Vidal', 'https://en.wikipedia.org/wiki/Tanya_Vidal']",16.666666666666664
46,The Terminal List,Nick Chinlund,True,16.666666666666664
47,The Terminal List,Tyner Rushing,True,16.666666666666664
48,The Terminal List,Drew Starkey,True,16.666666666666664
49,The Terminal List,Alexis Louder,True,16.666666666666664
50,The Terminal List,Jai Courtney,True,16.666666666666664
51,The Terminal List,Matthew Rauch,True,16.666666666666664
52,The Terminal List,Paul McCrane,True,16.666666666666664
53,The Terminal List,Stephen Bishop,True,16.666666666666664
54,The Umbrella Academy,Elliot Page,True,5.555555555555555
55,The Umbrella Academy,Tom Hopper,True,5.555555555555555
56,The Umbrella Academy,David Castañeda,True,5.555555555555555
57,The Umbrella Academy,Emmy Raver-Lampman,True,5.555555555555555
58,The Umbrella Academy,Robert Sheehan,True,5.555555555555555
59,The Umbrella Academy,Aidan Gallagher,True,5.555555555555555
60,The Umbrella Academy,Justin H. Min,['https://en.wikipedia.org/wiki/Ashley_Park_(actress)'],5.555555555555555
61,The Umbrella Academy,Colm Feore,True,5.555555555555555
62,The Umbrella Academy,Jordan Claire Robbins,True,5.555555555555555
63,The Umbrella Academy,Ritu Arya,True,5.555555555555555
64,The Umbrella Academy,Adam Godley,True,5.555555555555555
65,The Umbrella Academy,Kate Walsh,True,5.555555555555555
66,The Umbrella Academy,Yusuf Gatewood,True,5.555555555555555
67,The Umbrella Academy,Cameron Britton,True,5.555555555555555
68,The Umbrella Academy,Marin Ireland,True,5.555555555555555
69,The Umbrella Academy,Mary J. Blige,True,5.555555555555555
70,The Umbrella Academy,Genesis Rodriguez,True,5.555555555555555
71,The Umbrella Academy,Sheila McCarthy,True,5.555555555555555
72,Westworld,Evan Rachel Wood,['https://en.wikipedia.org/wiki/Ira_David_Wood_III'],11.11111111111111
73,Westworld,Jeffrey Wright,True,11.11111111111111
74,Westworld,Ed Harris,True,11.11111111111111
75,Westworld,Thandiwe Newton,True,11.11111111111111
76,Westworld,James Marsden,True,11.11111111111111
77,Westworld,Tessa Thompson,True,11.11111111111111
